           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-09-14T01:48:56Z           0           0            0             0(�)       0(0)             0             0        22570         83008            0          -1           0
2014-09-14T01:48:56Z CRAWL RUNNING - Preparing
2014-09-14T01:48:56Z           1           1            0             0(0)       0(0)             0             0        45721         83008            ∞           1           1
2014-09-14T01:48:56Z CRAWL PAUSED - Paused
2014-09-14T01:48:56Z CRAWL RUNNING - Running
2014-09-14T01:49:16Z         132         124            8         0.4(0.4)       3(3)             0             0        91692        126912            1         120          41
2014-09-14T01:49:36Z         183         169           14        0.3(0.35)      10(6)             0             0        91498        126912            1         165          56
2014-09-14T01:49:56Z         280         260           20        0.3(0.33)       5(6)             0             1       102675        126912            1         256          86
2014-09-14T01:50:16Z         414         387           27       0.35(0.34)      17(9)             0             0        98075        126912            1         383         129
2014-09-14T01:50:36Z         476         443           33        0.3(0.33)       9(9)             0             0       100388        126912            1         439         147
2014-09-14T01:50:56Z         727         688           39        0.3(0.33)      12(9)             0             0       108678        126912            1         684         229
2014-09-14T01:51:16Z         937         892           45        0.3(0.32)     14(10)             0             0        99444        126912            1         888         297
2014-09-14T01:51:36Z        1074        1023           51        0.3(0.32)     13(10)             0             0        91456        126912            1        1019         341
2014-09-14T01:51:56Z        1233        1176           57        0.3(0.32)     14(11)             0             0        99356        126912            1        1172         392
2014-09-14T01:52:16Z        1400        1337           63        0.3(0.32)     13(11)             0             0       107947        126912            1        1333         445
2014-09-14T01:52:36Z        1570        1501           69        0.3(0.31)     20(12)             0             0       106879        126912            1        1497         500
2014-09-14T01:52:56Z        1731        1655           76       0.35(0.32)     13(12)             0             0       103851        126912            1        1651         551
2014-09-14T01:53:16Z        1791        1709           82        0.3(0.32)      9(12)             0             0       100127        126912            1        1705         569
2014-09-14T01:53:36Z        1931        1843           88        0.3(0.31)     12(12)             0             0        87891        126912            1        1839         614
2014-09-14T01:53:56Z        2169        2075           94        0.3(0.31)     13(12)             0             0       100702        126912            1        2071         691
2014-09-14T01:54:16Z        2375        2275          100        0.3(0.31)     11(12)             0             0        99572        126912            1        2271         758
2014-09-14T01:54:36Z        2446        2340          106        0.3(0.31)     13(12)             0             0        98126        126912            1        2336         780
2014-09-14T01:54:56Z        2696        2583          113       0.35(0.31)     14(12)             0             0       108264        126912            1        2579         861
2014-09-14T01:55:16Z        2791        2672          119        0.3(0.31)     12(12)             0             0       101202        126912            1        2668         890
2014-09-14T01:55:36Z        2847        2722          125        0.3(0.31)     12(12)             0             0        93879        126912            1        2718         907
2014-09-14T01:55:56Z        3082        2951          131        0.3(0.31)      9(12)             0             0        92666        126912            1        2947         983
2014-09-14T01:56:16Z        3145        3008          137        0.3(0.31)      9(12)             0             1       101439        126912            1        3004        1002
2014-09-14T01:56:36Z        3217        3073          144       0.35(0.31)     19(12)             0             0       101794        126912            1        3069        1024
2014-09-14T01:56:56Z        3390        3240          150        0.3(0.31)     13(12)             0             0        96374        126912            1        3236        1080
2014-09-14T01:57:16Z        3451        3295          156        0.3(0.31)     12(12)             0             0        95552        126912            1        3291        1098
2014-09-14T01:57:36Z        3522        3360          162        0.3(0.31)     14(12)             0             0        96944        126912            1        3356        1120
2014-09-14T01:57:56Z        3595        3426          169       0.35(0.31)     12(12)             0             0       100312        126912            1        3422        1142
2014-09-14T01:58:16Z        3623        3448          175        0.3(0.31)     14(12)             0             0       106906        126912            1        3444        1149
2014-09-14T01:58:36Z        3665        3484          181        0.3(0.31)     11(12)             0             0       104590        126912            1        3480        1161
2014-09-14T01:58:56Z        3879        3692          187        0.3(0.31)     11(12)             0             0        84780        126912            1        3688        1230
2014-09-14T01:59:16Z        3979        3786          193        0.3(0.31)      9(12)             0             0       102315        126912            1        3782        1262
2014-09-14T01:59:36Z        4132        3932          200       0.35(0.31)     13(12)             0             0        92766        126912            1        3928        1310
2014-09-14T01:59:56Z        4254        4048          206        0.3(0.31)     11(12)             0             0       104009        126912            1        4044        1349
2014-09-14T02:00:16Z        4257        4045          212        0.3(0.31)     10(12)             0             0       108785        126912            1        4041        1348
2014-09-14T02:00:36Z        4309        4091          218        0.3(0.31)      9(12)             0             1       112848        126912            1        4087        1363
2014-09-14T02:00:56Z        4339        4114          225       0.35(0.31)     13(12)             0             0       101707        126912            1        4110        1371
2014-09-14T02:01:16Z        4390        4159          231        0.3(0.31)     13(12)             0             0        86677        126912            1        4155        1386
2014-09-14T02:01:36Z        4573        4336          237        0.3(0.31)     12(12)             0             0        99784        126912            1        4332        1445
2014-09-14T02:01:56Z        4637        4394          243        0.3(0.31)     12(12)             0             0        93002        126912            1        4390        1464
2014-09-14T02:02:16Z        4789        4539          250       0.35(0.31)     15(12)             0             0       103964        126912            1        4535        1513
2014-09-14T02:02:36Z        4866        4610          256        0.3(0.31)      9(12)             0             0        85122        126912            1        4606        1536
2014-09-14T02:02:56Z        4870        4608          262        0.3(0.31)      9(12)             0             0        84188        126912            1        4604        1536
2014-09-14T02:03:16Z        4870        4602          268        0.3(0.31)     11(12)             0             0        95565        126912            1        4598        1534
2014-09-14T02:03:36Z        4931        4656          275       0.35(0.31)     13(12)             0             0        99743        126912            1        4652        1552
2014-09-14T02:03:56Z        5110        4829          281        0.3(0.31)     12(12)             0             0       107822        126912            1        4825        1609
2014-09-14T02:04:16Z        5199        4912          287        0.3(0.31)     11(12)             0             0        82600        126912            1        4908        1637
2014-09-14T02:04:36Z        5319        5025          294       0.35(0.31)     11(12)             0             0        80641        126912            1        5021        1675
2014-09-14T02:04:56Z        5352        5052          300        0.3(0.31)     13(12)             0             0        89350        126912            1        5048        1684
2014-09-14T02:05:16Z        5396        5090          306        0.3(0.31)     12(12)             0             0        93322        126912            1        5086        1696
2014-09-14T02:05:36Z        5424        5112          312        0.3(0.31)     31(12)             0             0        97681        126912            1        5108        1704
2014-09-14T02:05:56Z        5424        5105          319       0.35(0.31)     12(12)             0             0       101899        126912            1        5101        1701
2014-09-14T02:06:16Z        5446        5121          325        0.3(0.31)     14(12)             0             0        98804        126912            1        5117        1707
2014-09-14T02:06:36Z        5522        5191          331        0.3(0.31)     15(12)             0             0       107694        126912            1        5187        1730
2014-09-14T02:06:56Z        5547        5210          337        0.3(0.31)     11(12)             0             0        97365        126912            1        5206        1736
2014-09-14T02:07:16Z        5547        5204          343        0.3(0.31)     11(12)             0             0        92259        126912            1        5200        1734
2014-09-14T02:07:36Z        5611        5261          350       0.35(0.31)      8(12)             0             0       104657        126912            1        5257        1753
2014-09-14T02:07:56Z        5615        5259          356        0.3(0.31)      9(12)             0             0       102558        126912            1        5255        1753
2014-09-14T02:08:16Z        5675        5313          362        0.3(0.31)     10(12)             0             0        93039        126912            1        5309        1771
2014-09-14T02:08:36Z        5788        5420          368        0.3(0.31)     11(12)             0             0       103640        126912            1        5416        1806
2014-09-14T02:08:56Z        5824        5450          374        0.3(0.31)     12(12)             0             1        95606        126912            1        5446        1816
2014-09-14T02:09:16Z        6024        5643          381       0.35(0.31)     12(12)             0             0        83985        126912            1        5639        1881
2014-09-14T02:09:36Z        6183        5796          387        0.3(0.31)     13(12)             0             0       100805        126912            1        5792        1932
2014-09-14T02:09:56Z        6389        5996          393        0.3(0.31)     11(12)             0             0       106870        126912            1        5992        1998
2014-09-14T02:10:16Z        6442        6043          399        0.3(0.31)      9(12)             0             0       106907        126912            1        6039        2014
2014-09-14T02:10:36Z        6640        6234          406       0.35(0.31)     15(12)             0             0       102071        126912            1        6230        2078
2014-09-14T02:10:56Z        6739        6327          412        0.3(0.31)     11(12)             0             0        93222        126912            1        6323        2109
2014-09-14T02:11:16Z        6807        6389          418        0.3(0.31)      7(12)             0             0       117928        126912            1        6385        2129
2014-09-14T02:11:36Z        6858        6434          424        0.3(0.31)     11(12)             0             0        93646        126912            1        6430        2144
2014-09-14T02:11:56Z        6865        6434          431       0.35(0.31)      9(12)             0             0       100091        126912            1        6430        2144
2014-09-14T02:12:16Z        6939        6502          437        0.3(0.31)     10(12)             0             0        98333        126912            1        6498        2167
2014-09-14T02:12:36Z        7003        6560          443        0.3(0.31)     12(12)             0             0        90377        126912            1        6556        2186
2014-09-14T02:12:56Z        7202        6752          450       0.35(0.31)     15(12)             0             0       108294        126912            1        6748        2250
2014-09-14T02:13:16Z        7264        6808          456        0.3(0.31)     11(12)             0             0        86044        126912            1        6804        2269
2014-09-14T02:13:36Z        7370        6908          462        0.3(0.31)     12(12)             0             0        88662        126912            1        6904        2302
2014-09-14T02:13:56Z        7405        6936          469       0.35(0.31)     12(12)             0             0        94758        126912            1        6932        2312
2014-09-14T02:14:16Z        7447        6972          475        0.3(0.31)      9(12)             0             0        93013        126912            1        6968        2324
2014-09-14T02:14:36Z        7479        6997          482       0.35(0.31)      2(12)             0             0       103130        126912            1        6993        2332
2014-09-14T02:14:56Z        7569        7081          488        0.3(0.31)      2(12)             0             0       104127        126912            1        7077        2360
2014-09-14T02:15:16Z        7653        7159          494        0.3(0.31)      3(12)             0             0       113990        126912            1        7155        2386
2014-09-14T02:15:36Z        7692        7191          501       0.35(0.31)      2(11)             0             0        96581        126912            1        7187        2397
2014-09-14T02:15:56Z        7766        7259          507        0.3(0.31)      2(11)             0             0       109324        126912            1        7255        2419
2014-09-14T02:16:16Z        7766        7252          514       0.35(0.31)      2(11)             0             0        90617        126912            1        7248        2417
2014-09-14T02:16:36Z        7907        7387          520        0.3(0.31)      6(11)             0             0       110778        126912            1        7383        2462
2014-09-14T02:16:56Z        8006        7480          526        0.3(0.31)     10(11)             0             0        94888        126912            1        7476        2493
2014-09-14T02:17:16Z        8206        7674          532        0.3(0.31)     14(11)             0             0        94667        126912            1        7670        2558
2014-09-14T02:17:36Z        8244        7706          538        0.3(0.31)      8(11)             0             0       105142        126912            1        7702        2568
2014-09-14T02:17:56Z        8265        7721          544        0.3(0.31)      8(11)             0             1       102216        126912            1        7717        2573
2014-09-14T02:18:16Z        8286        7735          551       0.35(0.31)     10(11)             0             0        84828        126912            1        7731        2578
2014-09-14T02:18:36Z        8287        7730          557        0.3(0.31)      9(11)             0             0       104980        126912            1        7726        2576
2014-09-14T02:18:56Z        8394        7831          563        0.3(0.31)      8(11)             0             0        90346        126912            1        7827        2610
2014-09-14T02:19:16Z        8426        7856          570       0.35(0.31)     10(11)             0             0        99371        126912            1        7852        2618
2014-09-14T02:19:36Z        8593        8017          576        0.3(0.31)     10(11)             0             0       108306        126912            1        8013        2672
2014-09-14T02:19:56Z        8623        8041          582        0.3(0.31)      8(11)             0             0        99436        126912            1        8037        2680
2014-09-14T02:20:16Z        8640        8051          589       0.35(0.31)     10(11)             0             0        98448        126912            1        8047        2683
2014-09-14T02:20:36Z        8660        8065          595        0.3(0.31)     10(11)             0             0       104833        126912            1        8061        2688
2014-09-14T02:20:56Z        8689        8088          601        0.3(0.31)      9(11)             0             0        91923        126912            1        8084        2696
2014-09-14T02:21:16Z        8809        8201          608       0.35(0.31)     11(11)             0             0       101236        126912            1        8197        2733
2014-09-14T02:21:36Z        8959        8345          614        0.3(0.31)     11(11)             0             0       113014        126912            1        8341        2781
2014-09-14T02:21:56Z        8979        8359          620        0.3(0.31)      9(11)             0             0        96947        126912            1        8355        2786
2014-09-14T02:22:16Z        9139        8513          626        0.3(0.31)     11(11)             0             0       111478        126912            1        8509        2837
2014-09-14T02:22:36Z        9365        8733          632        0.3(0.31)     13(11)             0             0        89134        126912            1        8729        2911
2014-09-14T02:22:56Z        9365        8733          632          0(0.31)      0(11)             0             1        90018        126912            1        8729        2911
2014-09-14T02:23:16Z        9365        8733          632          0(0.31)      0(11)             0             1        90883        126912            1        8729        2911
2014-09-14T02:23:36Z        9365        8733          632           0(0.3)      0(11)             0             1        91737        126912            1        8729        2911
2014-09-14T02:23:56Z        9365        8733          632           0(0.3)      0(10)             0             1        92609        126912            1        8729        2911
2014-09-14T02:24:16Z        9365        8733          632           0(0.3)      0(10)             0             1        93465        126912            1        8729        2911
2014-09-14T02:24:36Z        9365        8733          632           0(0.3)      0(10)             0             1        94327        126912            1        8729        2911
